"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"pre-commit.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2447"	"65"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/pre-commit.sample-slack"
"pre-merge-commit.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"416"	"66"	"39cb268e2a85d436b9eb6f47614c3cbc"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/pre-merge-commit.sample"
"pre-push.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"1374"	"67"	"2c642152299a94e05ea26eae11993b13"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/pre-push.sample"
"pre-push.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2722"	"67"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/pre-push.sample-slack"
"pre-rebase.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"4898"	"68"	"56e45f2bcbc8226d2b4200f7c46371bf"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/pre-rebase.sample"
"pre-rebase.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"3294"	"68"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/pre-rebase.sample-slack"
"pre-receive.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"544"	"69"	"2ad18ec82c20af7b5926ed9cea6aeedd"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/pre-receive.sample"
"prepare-commit-msg.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"1492"	"70"	"2b5c047bdb474555e1787db32b2d2fc5"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/prepare-commit-msg.sample"
"prepare-commit-msg.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2604"	"70"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/prepare-commit-msg.sample-slack"
"push-to-checkout.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2783"	"71"	"c7ab00c7784efeadad3ae9b228d4b4db"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/push-to-checkout.sample"
